timestamp,longitude,latitude,speed,accuracy
1693558392410,13.7272779,51.0310457,0.3237876892089844,30.933000564575195
1693558394034,13.7272427,51.0311724,1.1483315229415894,22.43400001525879
1693558394981,13.7272577,51.0312019,1.507177710533142,17.815000534057617
1693558395973,13.7272597,51.031235,2.0333969593048096,14.968999862670898
1693558396976,13.7272342,51.0312712,2.692535161972046,12.833000183105469
1693558398011,13.727218,51.0312968,2.0954277515411377,7.504000186920166
1693558398978,13.7272082,51.031316,1.8423100709915161,6.9679999351501465
1693558399984,13.727202,51.0313334,1.718345284461975,5.295000076293945
1693558400998,13.7271973,51.0313514,1.7003079652786255,4.515999794006348
1693558401985,13.7271982,51.0313585,0.5449251532554626,4.545000076293945
1693558402822,13.7272017,51.0313566,0.5198175311088562,4.802999973297119
1693558403420,13.7272109,51.031386,1.8350709676742554,5.215000152587891
1693558403948,13.7272195,51.0314078,1.8463276624679565,5.453999996185303
1693558404579,13.7272533,51.0314323,3.9596006870269775,5.785999774932861
1693558404990,13.7272988,51.031455,5.058764457702637,5.550000190734863
1693558405690,13.7273296,51.0314654,5.045080184936523,5.986999988555908
1693558407003,13.7274706,51.031486,5.288180351257324,5.755000114440918
1693558407717,13.7274985,51.0314781,5.259140491485596,5.826000213623047
1693558408973,13.7276087,51.0314338,5.224325180053711,5.093999862670898
1693558409999,13.7276799,51.031422,5.3896098136901855,4.755000114440918
1693558410976,13.7277502,51.031405,5.4583964347839355,4.377999782562256
1693558411974,13.7278168,51.0313868,5.48545503616333,4.377999782562256
1693558412977,13.7278848,51.0313644,5.789220809936523,3.9000000953674316
1693558413996,13.7279559,51.0313378,5.778911590576172,3.9000000953674316
1693558414967,13.7280277,51.0313088,5.79305362701416,3.9000000953674316
1693558416036,13.7280985,51.0312797,5.81231164932251,3.9000000953674316
1693558416997,13.7281529,51.0312571,2.7815756797790527,3.9000000953674316
1693558418001,13.7281844,51.0312445,2.321429967880249,3.9639999866485596
1693558418997,13.7282112,51.0312355,2.0688130855560303,4.0289998054504395
1693558419986,13.7282374,51.0312292,1.919188141822815,4.271999835968018
1693558420984,13.7282643,51.0312233,1.857030987739563,4.693999767303467
1693558421976,13.7282943,51.0312201,1.847687840461731,5.116000175476074
1693558422983,13.7283305,51.0312196,2.272343873977661,5.755000114440918
1693558423970,13.7283487,51.0312199,2.2680931091308594,7.168000221252441
1693558424217,13.7283663,51.0312164,3.594630718231201,7.941999912261963
1693558424993,13.7284043,51.031211,4.036720275878906,8.229000091552734
1693558425983,13.7284844,51.0311879,3.87748122215271,8.86299991607666
1693558426869,13.7285309,51.0311643,5.135636329650879,9.312000274658203
1693558426988,13.7285692,51.0311431,5.898492813110352,9.02400016784668
1693558427980,13.7286735,51.0310717,5.835319995880127,9.043999671936035
1693558428968,13.7289248,51.030909,5.868038177490234,8.722999572753906
1693558429991,13.729051,51.0308264,5.963791370391846,7.729000091552734
1693558431011,13.7291155,51.0307734,5.193118095397949,6.949999809265137
1693558431975,13.729166,51.0307361,5.206183433532715,5.478000164031982
1693558432975,13.7292351,51.0307041,5.630029678344727,5.001999855041504
1693558433982,13.7293158,51.0306709,5.756358623504639,4.823999881744385
1693558434998,13.729375,51.0306493,5.708058834075928,5.1620001792907715
1693558435937,13.7293949,51.0306456,2.191577672958374,5.6570000648498535
1693558436692,13.729417,51.0306458,2.090623378753662,6.164999961853027
1693558437637,13.7294422,51.0306385,2.210319757461548,6.544000148773193
1693558437976,13.7294552,51.0306336,2.228973150253296,6.572999954223633
1693558438712,13.7294828,51.0306236,2.3393423557281494,6.8460001945495605
1693558439242,13.7295049,51.0306165,2.500673532485962,7.144000053405762
1693558439903,13.7295292,51.0306081,2.5297138690948486,7.183000087738037
1693558440764,13.7295993,51.0305884,2.7356128692626953,7.1579999923706055
1693558440973,13.7296254,51.0305807,2.7504191398620605,7.170000076293945
1693558441798,13.7297158,51.0305386,5.001859188079834,7.5329999923706055
1693558442023,13.7298076,51.030492,5.957284927368164,7.291999816894531
1693558442973,13.7299173,51.030446,5.7643351554870605,7.039000034332275
1693558444006,13.7299845,51.0303948,5.854496002197266,6.835999965667725
1693558444980,13.7300491,51.0303542,6.074513912200928,6.604000091552734
1693558445982,13.7300987,51.0303255,5.488646984100342,6.3429999351501465
1693558446973,13.7301373,51.0302841,5.395909786224365,5.181000232696533
1693558448023,13.7301579,51.0302402,6.064069747924805,5.408999919891357
1693558448771,13.7301578,51.0302215,1.384560227394104,5.843999862670898
1693558449737,13.7301324,51.0302091,1.699306845664978,5.808000087738037
1693558450833,13.7301019,51.0301871,2.0728845596313477,5.880000114440918
1693558451518,13.7300741,51.0301736,2.201510190963745,6.0970001220703125
1693558452004,13.7300516,51.0301675,2.222930431365967,6.204999923706055
1693558452452,13.7300303,51.0301654,2.279945135116577,6.585000038146973
1693558453728,13.729986,51.0301677,0.7787725925445557,6.4720001220703125
1693558454317,13.7299612,51.0301699,4.165448188781738,6.453000068664551
1693558454836,13.7299255,51.0301713,4.643706798553467,6.702000141143799
1693558455449,13.7298658,51.0301739,4.759768486022949,6.804999828338623
1693558456001,13.7298202,51.0301733,4.734833240509033,6.909999847412109
1693558456577,13.729768,51.0301719,4.724225044250488,7.053999900817871
1693558457195,13.7297204,51.0301668,4.2830939292907715,7.251999855041504
1693558457976,13.7296749,51.0301634,4.216082572937012,7.446000099182129
1693558458613,13.7296333,51.0301604,3.7420928478240967,7.692999839782715
1693558458972,13.7296085,51.0301574,3.6891536712646484,8.118000030517578
1693558459980,13.7295481,51.0301449,3.569716691970825,8.786999702453613
