timestamp,x,y,z
1693840278199,5.650154113769531,11.488441467285156,-45.05910110473633
1693840279193,11.254539489746094,8.835372924804688,-46.228782653808594
1693840280187,7.893775939941406,8.048095703125,-40.78893280029297
1693840281181,-0.02263641357421875,8.144561767578125,-41.1719970703125
1693840282175,0.9083366394042969,8.406654357910156,-41.404701232910156
1693840283169,1.9603118896484375,8.315093994140625,-41.336509704589844
1693840285159,10.716514587402344,2.7476577758789062,-38.90711975097656
1693840286152,17.95340347290039,-5.590362548828125,-39.27040100097656
1693840287146,23.858179092407227,-16.0782470703125,-35.19853973388672
1693840288141,25.194387435913086,-19.48638916015625,-29.49854278564453
1693840289135,20.82861328125,-13.429222106933594,-31.578140258789062
1693840290129,22.170551300048828,-6.066642761230469,-35.26061248779297
1693840291123,18.99527359008789,-12.398139953613281,-38.243408203125
1693840292118,22.689865112304688,1.2530975341796875,-39.29115295410156
1693840293112,15.57254409790039,6.9266357421875,-42.222923278808594
1693840294107,13.35366439819336,0.12191009521484375,-44.58986282348633
1693840295101,8.01617431640625,-1.399505615234375,-45.13969421386719
1693840296096,4.4134674072265625,-17.573631286621094,-42.715003967285156
1693840297089,-11.277538299560547,-23.31641387939453,-36.55908203125
1693840298084,-29.628520965576172,-12.608184814453125,-36.818084716796875
1693840299078,-25.100505828857422,2.301361083984375,-38.11833190917969
1693840300072,-15.481937408447266,-5.0519866943359375,-41.02223205566406
1693840301067,-17.397022247314453,-2.7965545654296875,-33.223114013671875
1693840302061,-17.957111358642578,-7.258949279785156,-32.73199462890625
1693840303056,-20.697368621826172,-5.559059143066406,-38.253448486328125
1693840304050,-14.03481674194336,-5.714241027832031,-37.44219207763672
1693840305044,-20.325664520263672,-10.091041564941406,-36.837928771972656
1693840306039,-16.273845672607422,-4.825477600097656,-39.69635009765625
1693840307034,-19.20016098022461,-7.1552276611328125,-39.72144317626953
1693840308028,-17.155643463134766,-7.5333404541015625,-39.19940185546875
1693840309163,-16.60434341430664,-8.877662658691406,-40.29125213623047
1693840310017,-19.199932098388672,-7.758949279785156,-38.103240966796875
1693840311011,-17.481815338134766,-6.746192932128906,-40.45740509033203
1693840312005,-15.06118392944336,-7.8462677001953125,-37.776336669921875
1693840313000,-16.391101837158203,-5.98492431640625,-39.09138488769531
1693840313994,-18.217884063720703,-7.196784973144531,-39.51429748535156
1693840314989,-14.348575592041016,-6.684532165527344,-41.14398956298828
1693840315984,-8.387413024902344,-9.344703674316406,-33.004676818847656
1693840316978,-20.388378143310547,-5.759880065917969,-36.446632385253906
1693840317972,-20.056171417236328,-7.171012878417969,-37.088226318359375
1693840318967,-14.544506072998047,-7.639961242675781,-35.384490966796875
1693840319961,-14.55173110961914,-8.739494323730469,-38.734710693359375
1693840320956,-17.872310638427734,-5.6132659912109375,-39.824188232421875
1693840321950,-13.449947357177734,-10.020896911621094,-41.722564697265625
1693840322945,-17.638996124267578,-8.611053466796875,-40.4051513671875
1693840323941,-20.443096160888672,-7.990936279296875,-39.455596923828125
1693840324934,-19.611095428466797,-6.845130920410156,-40.02421569824219
1693840325928,-18.682147979736328,-7.583808898925781,-39.99656677246094
1693840326923,-19.163440704345703,-7.2489471435546875,-39.938255310058594
1693840327917,-18.304737091064453,-7.7412872314453125,-40.44396209716797
1693840328912,-18.786060333251953,-7.877540588378906,-39.93712615966797
1693840329906,-18.284000396728516,-7.805534362792969,-40.68670654296875
1693840330901,-18.197269439697266,-8.006935119628906,-40.330406188964844
1693840331895,-18.391437530517578,-7.746284484863281,-40.213836669921875
1693840332890,-18.146907806396484,-7.7369537353515625,-40.332550048828125
1693840333884,-17.428844451904297,-8.30828857421875,-40.26831817626953
1693840334880,-17.722713470458984,-8.110603332519531,-40.50117492675781
1693840335873,-17.755664825439453,-8.293960571289062,-40.091896057128906
1693840336868,-17.956546783447266,-4.805702209472656,-39.891929626464844
1693840337863,-18.831180572509766,-7.463432312011719,-40.091957092285156
1693840338857,-18.569385528564453,-7.788055419921875,-39.50653839111328
1693840339852,-17.95413589477539,-7.7285614013671875,-40.633262634277344
1693840340846,-18.243839263916016,-7.3058929443359375,-39.69573211669922
1693840341840,-18.647899627685547,-6.9952850341796875,-39.040679931640625
1693840342835,-19.019725799560547,-7.07879638671875,-40.228065490722656
1693840343829,-17.817951202392578,-7.889945983886719,-39.61461639404297
1693840344823,-18.394298553466797,-7.2289581298828125,-39.806419372558594
1693840345819,-18.560535430908203,-7.7130889892578125,-39.037620544433594
1693840346813,-17.595409393310547,-7.5840606689453125,-40.577110290527344
1693840347808,-19.068286895751953,-7.899543762207031,-38.85356903076172
1693840348802,-18.653934478759766,-6.677986145019531,-39.937538146972656
1693840349796,-18.416095733642578,-7.5987701416015625,-39.68217468261719
1693840350791,-18.468448638916016,-7.509361267089844,-39.82011413574219
1693840351786,-18.408748626708984,-7.787467956542969,-39.711387634277344
1693840352779,-18.45712661743164,-6.788459777832031,-40.51637268066406
1693840353775,-18.11709213256836,-8.105819702148438,-39.71697235107422
1693840354768,-18.587100982666016,-7.324676513671875,-40.135223388671875
1693840355763,-17.725589752197266,-7.0469512939453125,-39.43669891357422
1693840356758,-18.316280364990234,-7.464591979980469,-40.281219482421875
1693840357752,-18.347896575927734,-7.091423034667969,-40.461669921875
1693840358747,-18.28561782836914,-7.344169616699219,-40.021080017089844
1693840359741,-18.428462982177734,-7.518157958984375,-40.214385986328125
1693840360736,-18.022876739501953,-7.6208038330078125,-40.76251983642578
1693840361730,-19.105945587158203,-6.976997375488281,-40.476600646972656
1693840362725,-18.425952911376953,-7.535667419433594,-40.63648986816406
1693840363719,-16.565998077392578,-9.504676818847656,-40.45905303955078
1693840364713,-19.74594497680664,-7.8404388427734375,-40.065887451171875
1693840365707,-17.725543975830078,-6.0543365478515625,-40.973976135253906
1693840366702,-20.718059539794922,1.2482833862304688,-41.110076904296875
1693840367696,-12.733753204345703,7.43511962890625,-43.32624053955078
1693840368691,1.074798583984375,6.390983581542969,-46.32125473022461
1693840369685,-2.147777557373047,3.1751327514648438,-41.41039276123047
1693840370680,7.28955078125,8.917854309082031,-49.617919921875
1693840371674,5.624900817871094,9.107627868652344,-45.70353317260742
1693840372668,4.076957702636719,3.773773193359375,-47.36494064331055
1693840373663,2.729663848876953,3.3155441284179688,-46.652320861816406
1693840374658,3.4511680603027344,4.634346008300781,-46.20167541503906
1693840375652,0.8026237487792969,3.5936813354492188,-46.04682922363281
1693840376647,2.8865966796875,5.919105529785156,-45.20964431762695
1693840377641,5.656269073486328,5.4934539794921875,-47.137420654296875
1693840378635,5.774562835693359,4.9912109375,-46.46611785888672
1693840379630,3.4967613220214844,6.9290008544921875,-46.69924545288086
1693840380625,5.288013458251953,6.213127136230469,-47.45170974731445
1693840381619,6.372852325439453,6.6913604736328125,-45.62120056152344
1693840382613,6.249122619628906,5.260185241699219,-45.04682159423828
1693840383608,6.796924591064453,6.563323974609375,-50.3988037109375
1693840384603,5.1547088623046875,2.4611587524414062,-45.73444747924805
1693840385597,3.4414100646972656,6.3756866455078125,-43.91973114013672
1693840386591,6.983757019042969,6.455474853515625,-47.70123291015625
1693840387586,8.705146789550781,-1.74932861328125,-49.56083679199219
1693840388580,10.019161224365234,2.399169921875,-45.30155944824219
1693840389575,12.599525451660156,2.6117477416992188,-45.17564010620117
1693840390570,11.943614959716797,4.3144073486328125,-44.48859786987305
1693840391564,7.691669464111328,3.871063232421875,-43.94917297363281
1693840392558,11.261756896972656,1.4566802978515625,-41.18586730957031
1693840393553,16.272029876708984,2.1960067749023438,-42.30203628540039
